Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Яценко,Аарон,Васильович,Чоловік,1941-11-13,Астронавт,хутір Привілля,"парк Соляний 4-й, буд. 513, Вишгород, 55980",+380 (52) 431-95-63,ielyseirak@example.com
Ісаєнко,Станіслав,Олександрович,Чоловік,1949-11-02,Водій,село Щолкіне,"проспект Кладовищний, буд. 37 кв. 26, Тульчин, 68939",144-21-74,leonzhuk@example.net
Фоменко,Ігор,Петрович,Чоловік,2004-04-12,Електротехнік,місто Вашківці,"шосе Валіховський, буд. 18, Лозова, 92796",+380 (87) 692-03-16,aisaievych@example.org
Гуцуляк,Богдан,Тимофійович,Чоловік,1952-11-20,Публіцист,хутір Святогірськ,"сквер Пiвденний, буд. 3, Гребінка, 16085",011 32 47,iereskoleontii@example.org
Жарко,Мирослав,Арсенійович,Чоловік,1959-03-25,Парфюмер,селище Жмеринка,"узвіз Педагогічна, буд. 29, Чортків, 77112",529-03-27,sirobabaeduard@example.com
Лаба,Гордій,Степанович,Чоловік,1973-08-28,Ветеринар,селище Вилкове,"проспект Газовий, буд. 29, Надвірна, 96474",076 502 17 65,svystunoleksa@example.net
Жадан,Пилип,Іванович,Чоловік,1993-02-12,Геофізик,місто Прилуки,"провулок Сім'ї Глодан, буд. 1, Білозерське, 28942",+380 06 723 48 91,rostyslavarsenych@example.net
Гайдабура,Олександр,Павлович,Чоловік,2002-03-20,Секретар,хутір Прип'ять,"сквер Радіо, буд. 9, Суходільськ, 12499",+380 (12) 128-13-63,ctkach@example.com
Арсенич,Богуслав,Тимофійович,Чоловік,2001-01-19,Слідчий,селище Немирів,"узвіз Лінія 52-га, буд. 377, Новояворівськ, 91669",035 592-72-23,viktorfareniuk@example.org
Оніщук,Пантелеймон,Васильович,Чоловік,1965-05-25,Етнограф,місто Привілля,"сквер Місячна, буд. 324, Калинівка, 68723",+380 (01) 496-30-13,danyloovcharenko@example.com
Шухевич,Симон,Арсенійович,Чоловік,1944-04-21,Візажист,село Шахтарське,"сквер Водопровідний 1-й, буд. 8 кв. 9, Пустомити, 85928",+380 93 309-15-36,liubov81@example.org
Скиба,Георгій,Павлович,Чоловік,1970-07-21,Архітектор,місто Костянтинівка,"набережна Семінарська, буд. 7, Корюківка, 92763",+380 46 505-52-56,taranviktor@example.org
Власенко,Дмитро,Григорович,Чоловік,1940-07-15,Реставратор,хутір Жовква,"узвіз Морехідна, буд. 81, Лутугине, 37617",+380 70 375-28-97,dan60@example.net
Рубець,Роман,Іванович,Чоловік,1995-03-31,Ріелтор,село Хрустальний,"узвіз Лінія 30-та, буд. 6, Балта, 40660",085 063 07 47,anzhela78@example.com
Ніколюк,Алевтин,Дмитрович,Чоловік,1995-07-25,Диригент,хутір П'ятихатки,"шосе Лиманна, буд. 0, Миргород, 02261",+380 48 681 99 47,vernydubtymofii@example.net
Чабан,Болеслав,Петрович,Чоловік,1942-07-11,Гицель,хутір Олевськ,"провулок Скліфосовського, буд. 0, Кам'янець-Подільський, 83619",685-04-66,nataliiabazylevych@example.org
Твердохліб,Руслан,Сергійович,Чоловік,1999-03-08,Графік,село Пустомити,"сквер Пшенична, буд. 6 кв. 878, Ніжин, 94605",042 762-96-53,orkhypcherednyk@example.org
Забашта,Теодор,Миколайович,Чоловік,1958-06-19,Стропальник,селище Чорноморськ,"площа 3-тя Лінія Марії Демченко, буд. 3, Новоукраїнка, 63177",+380 91 265 69 23,amaliia75@example.org
Ємець,Демид,Юрійович,Чоловік,1969-12-06,Піаніст,місто Чорноморськ,"сквер Фруктова, буд. 797 кв. 551, Семенівка, 48686",+380 67 812 49 51,akymenkoieva@example.net
Масляк,Леопольд,Дмитрович,Чоловік,1970-08-22,Мірошник,селище Білогірськ,"провулок Учительський, буд. 857 кв. 35, Білицьке, 05638",+380 (96) 496-35-76,rakbohuslava@example.com
Хоменко,Семен,Степанович,Чоловік,1984-06-24,Електрослюсар,хутір Василівка,"провулок Василя Фащенка, буд. 65, Шпола, 40630",+380 16 869-15-99,piddubnyiandrii@example.org
Ющенко,Панас,Арсенійович,Чоловік,1986-04-15,Паблік рилейшнз,хутір Новоселиця,"шосе Басейний 2-й, буд. 419, Хорол, 74122",+380 15 098-21-79,irynaieremenko@example.org
Лубенець,Стефан,Богданович,Чоловік,1972-04-07,Громадський діяч,місто Корсунь-Шевченківський,"набережна Пироговський, буд. 16 кв. 91, Галич, 68191",+380 22 661 99 79,dmytroaronets@example.com
Ґерета,Вʼячеслав,Олексійович,Чоловік,2000-03-25,Режисер,місто Кам'янка (Черкаська область),"сквер Василя Кандинського 1-й, буд. 152, Токмак, 66796",+380 (22) 470-99-52,fkolisnychenko@example.com
Христенко,Вадим,Євгенович,Чоловік,1997-09-04,Інженер,хутір Мирноград,"площа Лінія 48-ма, буд. 78 кв. 608, Дубляни, 66712",062 24 93,nbabych@example.net
Штокало,Борис,Олексійович,Чоловік,1958-04-15,Живописець,місто Городище,"площа Романтичний, буд. 706 кв. 305, Берислав, 14489",301 93 66,omelianhaidenko@example.org
Макаренко,Пармен,Сергійович,Чоловік,1984-11-12,Дизайнер,місто Лиман,"парк Разумовська, буд. 7 кв. 14, Алушта, 23494",+380 (78) 911-18-64,onysymfurs@example.org
Даценко,Левко,Андрійович,Чоловік,1986-03-03,Прокурор,село Шахтарське,"провулок Бузковий 1-й, буд. 312, Сторожинець, 20221",+380 (89) 850-21-90,oles43@example.net
Гузь,Устим,Миколайович,Чоловік,1982-06-04,Науковець,село Гнівань,"парк Верстатобудівна, буд. 35 кв. 7, Чугуїв, 07542",000 24 55,bohuslav53@example.org
Демʼяненко,Максим,Олексійович,Чоловік,1970-03-02,Стропальник,селище Свалява,"площа Поліська, буд. 58 кв. 230, Дунаївці, 65766",+380 62 289 87 49,sviatoslava85@example.net
Москаль,Ярема,Григорович,Чоловік,1947-07-07,Хімік,селище Буча,"площа Рачкова, буд. 1 кв. 5, Приморськ, 96736",053 786-30-76,zorian73@example.org
Жук,Вʼячеслав,Степанович,Чоловік,1993-08-11,Графік,місто Запоріжжя,"площа Чорноморський, буд. 6, Збараж, 39124",+380 29 166-08-14,tchaban@example.net
Усик,Павло,Григорович,Чоловік,1939-07-06,Геофізик,хутір Валки,"набережна Садова 2-га, буд. 6 кв. 9, Калинівка, 77050",534-05-26,shukhevychserhii@example.com
Тимчук,Ілля,Григорович,Чоловік,1992-08-19,Бухгалтер,хутір Голубівка,"проспект Теофіла Фраєрмана, буд. 847 кв. 9, Заводське, 72705",094 973-96-23,ztsisyk@example.com
Кибкало,Амвросій,Арсенійович,Чоловік,1968-12-07,Паблік рилейшнз,село Івано-Франківськ,"провулок Кримський, буд. 07 кв. 708, Сміла, 82686",174 35 19,dmytrosachenko@example.org
Деряжний,Сергій,Степанович,Чоловік,1981-01-25,Дерун,місто Коростишів,"шосе Сотника Лугіна, буд. 3 кв. 4, Галич, 61386",477-73-05,tdatsenko@example.com
Гречко,Віталій,Петрович,Чоловік,1973-05-19,Редактор,село Бучач,"шосе Цементний, буд. 9 кв. 47, Жмеринка, 15314",+380 (71) 499-04-65,tsybulenkoiarema@example.com
Давиденко,Ярема,Іванович,Чоловік,1996-02-12,Ді-джей,хутір Пустомити,"шосе Лиманчик 2-й Лінія 1-ша, буд. 84, Яворів, 18703",066 348-89-42,oleksakalchenko@example.net
Яременко,Герман,Іванович,Чоловік,2003-03-11,Археолог,село Хуст,"набережна Польова, буд. 98, Кролевець, 05419",012 657 84 14,symon52@example.net
Петлюра,Макар,Арсенійович,Чоловік,2005-01-24,Публіцист,місто Іршава,"шосе Рівності 2-й, буд. 967, Шаргород, 39461",+380 15 696-85-40,bohodarvitruk@example.net
Швачка,Гліб,Олександрович,Чоловік,1996-07-09,Фермер,селище Дніпрорудне,"парк Миколи Костомарова, буд. 5, Дубляни, 39291",050 880 88 09,marusianazarenko@example.com
Дашенко,Орхип,Олексійович,Чоловік,1969-01-10,Психолог,село Хмільник,"узвіз Кримський, буд. 65, Родинське, 18151",070 622-88-56,imamchur@example.com
Зінчук,Пилип,Миколайович,Чоловік,2007-10-06,Ґрунтознавець,селище Боково-Хрустальне,"узвіз Березова, буд. 865 кв. 2, Яворів, 49017",+380 20 965-74-63,gderevianko@example.org
Александренко,Лукʼян,Юрійович,Чоловік,1989-02-14,Медик,хутір Кипуче,"парк Канатний, буд. 108 кв. 850, Ізяслав, 29101",049 706-17-94,raleksiuk@example.org
Мазепа,Остап,Григорович,Чоловік,1968-01-15,Прокурор,хутір Жидачів,"вулиця Березовий, буд. 039, Ржищів, 29022",098 870-86-89,leonivashchenko@example.org
Баклан,Григорій,Іванович,Чоловік,1982-01-26,Шериф,хутір Лозова,"вулиця Біржова, буд. 1 кв. 857, Лохвиця, 83437",+380 20 311-57-99,danirvanets@example.org
Лесик,Леонтій,Максимович,Чоловік,2002-03-20,Правник,хутір Золотоноша,"узвіз Аркадіївський, буд. 582 кв. 52, Решетилівка, 55140",+380 06 664-58-79,avhustyndevdiuk@example.net
Смик,Опанас,Миколайович,Чоловік,1956-03-14,Золотар,хутір Тячів,"сквер Госпітальєрів, буд. 4, Сторожинець, 13406",+380 35 650 86 23,sirobabamilena@example.com
Приймак,Амвросій,Степанович,Чоловік,1985-07-30,Журналіст,село Мерефа,"площа Івана Франка, буд. 0 кв. 2, Здолбунів, 99183",+380 94 968-01-37,huzenkobohodar@example.com
Рябченко,Устим,Дмитрович,Чоловік,2003-08-28,Мовознавець,хутір Новодністровськ,"набережна Володі Дубініна, буд. 04, Перечин, 17677",004 169-87-85,boryslavgzhytska@example.com
Баранник,Онисим,Григорович,Чоловік,1942-11-29,Астроном,місто Златопіль,"вулиця Семінарська, буд. 16 кв. 728, Нова Каховка, 82975",017 771-48-71,franchukiukhym@example.net
Салій,Семен,Олексійович,Чоловік,1944-08-08,Сантехнік,селище Жидачів,"сквер Соляний 3-й, буд. 21, Миргород, 61091",119 36 07,ctalan@example.org
Чалий,Максим,Сергійович,Чоловік,1961-02-09,Геолог,село Білогірськ,"набережна Шовкуненка, буд. 903, Охтирка, 93984",+380 08 665-59-47,tshylo@example.com
Алексюк,Остап,Юрійович,Чоловік,1973-02-01,Дантист,селище Кіцмань,"провулок Романтичний, буд. 809, Вільногірськ, 15055",+380 86 646-06-41,antondanchuk@example.net
Ватаманюк,Сергій,Романович,Чоловік,2000-01-25,Доцент,хутір Балта,"вулиця Щоголєва, буд. 61, Новоукраїнка, 27292",696 10 50,romanudovenko@example.net
Рябченко,Мирослав,Тимофійович,Чоловік,1976-06-06,Ботанік,село Миргород,"проспект Деволанівський узвіз, буд. 702, Олександрівськ, 94518",+380 78 904-86-64,vashchenko-zakharchenkovarfolomii@example.net
Чарниш,Устим,Богданович,Чоловік,1990-12-03,Реабілітолог,селище Валки,"шосе Український 3-й, буд. 5, Дрогобич, 90814",+380 44 116-72-08,qreva@example.com
Вітрук,Станіслав,Петрович,Чоловік,1946-03-29,Етнограф,місто Пирятин,"площа Валіховський, буд. 83 кв. 03, Іловайськ, 61333",091 970 08 90,spas85@example.org
Дашенко,Дмитро,Павлович,Чоловік,2003-07-19,Геолог,селище Пирятин,"набережна Балтська дорога, буд. 03, Тальне, 23534",648 35 44,wkabaliuk@example.org
Бабариченко,Давид,Олександрович,Чоловік,1940-07-07,Клоун,селище Мостиська,"шосе Гаванна, буд. 9 кв. 80, Кременець, 72845",+380 57 588 01 35,ravramchuk@example.net
Коваленко,Назар,Тимофійович,Чоловік,1992-07-29,Філолог,місто Вараш,"набережна Нерубайська, буд. 22, Ніжин, 07682",+380 19 209-21-61,babychhlib@example.com
Шинкаренко,Йосип,Миколайович,Чоловік,1957-08-05,Редактор,хутір Чорноморськ,"набережна Чигиринська, буд. 7 кв. 917, Багачеве, 55820",+380 73 925 26 42,cavdieienko@example.net
Сімашкевич,Остап,Павлович,Чоловік,1975-11-11,Медик,хутір Сколе,"площа 1-ша Лінія Марії Демченко, буд. 979 кв. 36, Кобеляки, 23871",069 753-90-89,avdieienkohennadii@example.com
Полтавець,Остап,Іванович,Чоловік,1964-07-21,Менеджер,місто Кадіївка,"парк Вернидуба, буд. 41, Ялта, 11737",684-04-99,kvashchuk@example.net
Палій,Борислав,Андрійович,Чоловік,1981-08-20,Перекладач,хутір Боково-Хрустальне,"провулок Стовпова, буд. 747, Мирноград, 52708",496-61-65,ziakymenko@example.org
Сімашкевич,Василь,Павлович,Чоловік,1981-09-21,Художник,селище Алмазна,"сквер 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 26, Кропивницький, 20126",064 018-77-84,saienkoleonid@example.org
Жадан,Федір,Миколайович,Чоловік,1948-01-14,Співак,селище Новоград-Волинський,"проспект Наявний 7-й, буд. 686, Новоазовськ, 10985",+380 74 301-07-49,anastasiiaradchenko@example.net
Шутько,Григорій,Дмитрович,Чоловік,1977-09-20,Літературознавець,село Корець,"сквер Уманська, буд. 5 кв. 73, Стрий, 42369",074 653 96 51,kabaliukvladyslav@example.org
Ковпак,Устим,Петрович,Чоловік,1976-03-10,Бібліограф,хутір Новомиргород,"набережна Місячний, буд. 680, Малин, 91004",+380 (41) 105-03-96,okseniia87@example.net
Засядько,Леонід,Олексійович,Чоловік,1989-06-21,Науковець,хутір Добромиль,"парк Лавкова, буд. 09 кв. 176, Перевальськ, 69600",684-78-55,nestor26@example.org
Дробаха,Сергій,Павлович,Чоловік,1990-11-02,Електромонтажник,селище Березань,"проспект Садова 5-та, буд. 3, Ізюм, 05206",+380 23 561-91-16,bohodarishchak@example.net
Медведенко,Володимир,Юрійович,Чоловік,1941-06-25,Флорист,селище Жидачів,"вулиця Кавказький, буд. 883 кв. 898, Бар, 56885",+380 (21) 534-77-10,avhustynkhrystenko@example.net
Байрак,Ігнат,Олексійович,Чоловік,1939-07-24,Програміст,село Березань,"набережна Хутірський, буд. 358, Щолкіне, 55324",+380 96 478-89-47,stanislaveibozhenko@example.org
Вовк,Герман,Олексійович,Чоловік,2007-07-23,Фермер,хутір Обухів,"набережна Одеська, буд. 496, Новоселиця, 70492",+380 98 206-57-22,fedir27@example.org
Арсенич,Охрім,Степанович,Чоловік,1988-02-27,Кінорежисер,селище Миколаїв,"вулиця Пішонівська, буд. 9, Джанкой, 39958",+380 (71) 167-57-59,samoilenkosnizhana@example.com
Рудько,Пилип,Євгенович,Чоловік,1993-09-22,Патологоанатом,селище Переяслав,"вулиця Студентський 4-й, буд. 30, Ланівці, 42312",126 98 56,zoriantsymbaliuk@example.org
Вертипорох,Віктор,Миколайович,Чоловік,1999-12-12,Круп'є,селище Бар,"набережна Композитора Вербицького, буд. 954, Долина, 01761",080 166-50-03,alberttsiutsiura@example.com
Гайда,Болеслав,Григорович,Чоловік,1992-09-26,Шериф,селище Южне,"площа Сабанський, буд. 41 кв. 201, Боково-Хрустальне, 79298",234 56 35,fverkhola@example.com
Лесик,Орхип,Іванович,Чоловік,1947-06-05,Бібліотекар,місто Старобільськ,"площа Новобазарний, буд. 05, Баранівка, 11362",099 815 55 03,babarychenkooksana@example.org
Лавренко,Леон,Юрійович,Чоловік,2001-03-09,Машиніст,місто Білицьке,"площа Чернігівський, буд. 269 кв. 06, Ужгород, 45619",038 718-40-40,priskaiemelianenko@example.com
Мірошниченко,Болеслав,Арсенійович,Чоловік,2007-06-22,Правник,місто Сорокине,"набережна Зарічна, буд. 12, Вовчанськ, 39906",+380 37 797-48-96,lukian64@example.net
Атаманюк,Адам,Андрійович,Чоловік,1940-12-16,Лікар,село Ірпінь,"сквер Центральний аеропорт, буд. 194, Кролевець, 12951",+380 (76) 855-70-40,banderaviktoriia@example.org
Ґереґа,Максим,Олексійович,Чоловік,1966-06-03,Електрик,місто Судова Вишня,"вулиця Куликове поле, буд. 08 кв. 10, Соледар, 05417",023 544 01 38,abaklan@example.net
Тягнибок,Сергій,Григорович,Чоловік,1993-08-30,Письменник,село Шпола,"парк Лінія 43-тя, буд. 4, Балта, 96360",008-03-52,udovenkomarko@example.org
Ґалаґан,Степан,Олександрович,Чоловік,1990-09-20,Футболіст,місто Петрово-Красносілля,"вулиця Костанді, буд. 268, Шахтарське, 96751",+380 03 278-60-61,emiliiabevz@example.com
Фурс,Олесь,Дмитрович,Чоловік,1957-07-06,Гицель,селище Гадяч,"площа Соляний 2-й, буд. 5, Феодосія, 97284",766-22-15,vernyhoravenedykt@example.net
Єресько,Захар,Богданович,Чоловік,1987-03-03,Будник,селище Марганець,"узвіз Банний, буд. 284, Тисмениця, 87722",827 32 24,odanko@example.org
Романенко,Августин,Богданович,Чоловік,2006-10-16,Машиніст,село Кагарлик,"сквер Квітковий, буд. 9 кв. 266, Селидове, 89996",+380 (79) 829-21-84,ekhudiak@example.net
Литвин,Остап,Сергійович,Чоловік,1966-01-05,Льотчик,хутір Ужгород,"вулиця Депутатський, буд. 75 кв. 020, Конотоп, 08669",+380 47 738-82-17,martyn17@example.org
Євтушенко,Едуард,Петрович,Чоловік,1981-06-12,Круп'є,місто Болехів,"узвіз Героїв оборони Одеси, буд. 45 кв. 39, Золоте, 24344",004 503-00-95,babenkopanas@example.org
Тягнибок,Валентин,Богданович,Чоловік,1943-12-25,Педагог,місто Самбір,"узвіз Володимира Хавкіна, буд. 22 кв. 00, Мирноград, 89391",078 81 08,pylypshapoval@example.com
Негода,Омелян,Петрович,Чоловік,1943-08-23,Гінеколог,місто Дубровиця,"парк Уральський, буд. 363, Копичинці, 35520",148 78 32,kostapchuk@example.net
Шевченко,Мирослав,Іванович,Чоловік,1952-11-28,Гірник,місто Заліщики,"проспект Тараса Кузьміна, буд. 5 кв. 628, Хрустальний, 68256",298-36-00,klyment39@example.com
Артюшенко,Зорян,Васильович,Чоловік,1982-12-01,Громадський діяч,селище Калинівка,"площа Рибальський, буд. 660, Маріуполь, 58716",+380 28 373-07-70,amaliiaduplii@example.com
Пелех,Дмитро,Григорович,Чоловік,1953-09-05,Складальник,селище Апостолове,"проспект Пересипська 2-га, буд. 97 кв. 2, Полтава, 93227",053 095 00 88,valenkoviktor@example.net
Якимчук,Євген,Арсенійович,Чоловік,1984-02-12,Ді-джей,селище Теребовля,"узвіз Моторна, буд. 744, Бережани, 84921",057 567 51 73,iaverchenko@example.org
Артим,Олекса,Богданович,Чоловік,1948-08-14,Будник,село Борислав,"набережна Лінія 42-га, буд. 7, Златопіль, 49637",+380 (72) 632-48-66,iustyna57@example.org
Башполченко,Прохір,Сергійович,Чоловік,1991-07-12,Стропальник,село Шахтарськ,"набережна 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 31, Рожище, 52832",+380 (20) 154-56-97,anastasiia29@example.org
Гаврюшенко,Дмитро,Максимович,Чоловік,1995-03-21,Геофізик,хутір Ходорів,"набережна Ніни Строкатої, буд. 528, Яготин, 60687",062 725-82-82,mykhailo90@example.net
Теліженко,Руслан,Володимирович,Чоловік,1949-03-21,Бухгалтер,хутір Лисичанськ,"вулиця Михайла Жука, буд. 18, Володимир-Волинський, 22612",+380 21 543-46-73,deinekaliza@example.com
Черінько,Богдан,Олександрович,Чоловік,1954-09-24,Музикознавець,село Іловайськ,"набережна 2-га Лінія 4-ї ст. Люстдорфської дороги, буд. 3, Слов'янськ, 72899",+380 54 213 98 37,orkhyp87@example.org
Павличенко,Сергій,Васильович,Чоловік,1943-02-28,Клавішник,селище Перечин,"вулиця Авіаторів, буд. 77, Алушта, 42868",487-93-81,kartiukh@example.org
Слюсар,Амвросій,Романович,Чоловік,1948-01-18,Краєзнавець,село Щолкіне,"вулиця Канатна, буд. 88 кв. 27, Дрогобич, 79934",+380 25 760 04 22,iukhymvakhnii@example.com
Засенко,Ілля,Сергійович,Чоловік,2007-04-17,Мірошник,селище Вишгород,"провулок Сергія Єфремова, буд. 44, Златопіль, 58979",+380 (99) 098-00-31,alevtynzasiadko@example.com
Супруненко,Ігор,Степанович,Чоловік,1978-12-03,Секретар,селище Токмак,"узвіз Бродська, буд. 843, Зеленодольськ, 69061",130 51 32,venedykttsymbaliuk@example.org
Лемешко,Зорян,Максимович,Чоловік,1952-06-11,Доцент,хутір Вижниця,"вулиця 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 79 кв. 6, Кременчук, 76965",041 829 16 51,bohodarhavrylets@example.com
Рудик,Миколай,Максимович,Чоловік,1953-09-27,Агроном,селище Переяслав,"набережна Проектна 1-ша, буд. 5 кв. 085, Дубляни, 11280",030 392 28 40,siaremenko@example.org
Бандера,Ігнат,Андрійович,Чоловік,1999-08-18,Бібліотекар,місто Устилуг,"сквер Льва Симиренка, буд. 37, Кременчук, 60158",524 30 91,stepan86@example.org
Лупій,Пармен,Павлович,Чоловік,1940-05-07,Публіцист,хутір Берестечко,"вулиця Фабрична, буд. 0 кв. 14, Устилуг, 07642",135-03-28,fzabara@example.com
Цюпа,Петро,Володимирович,Чоловік,1958-05-22,Доцент,місто Рені,"узвіз Крутоярська, буд. 9, Підгайці, 16661",627 91 27,qrudko@example.com
Вітрук,Йосип,Павлович,Чоловік,1994-07-01,Ріелтор,селище Рубіжне,"шосе Абрикосова, буд. 91, Ківерці, 65684",+380 (43) 382-26-03,alevtyndavydenko@example.org
Сагаль,Віталій,Іванович,Чоловік,1998-03-14,Ріелтор,місто Сокаль,"набережна Тиха, буд. 935 кв. 3, Шахтарське, 86776",+380 77 081 77 46,makarshmorhun@example.net
Твердохліб,Ярослав,Андрійович,Чоловік,1961-09-07,Продюсер,хутір Бобровиця,"набережна Маловського, буд. 3 кв. 871, Яворів, 52728",426-14-34,wtalan@example.net
Батюк,Вадим,Олександрович,Чоловік,1999-12-22,Біолог,місто Переяслав,"проспект Аеродромний 2-й, буд. 0 кв. 18, Кролевець, 38222",+380 (05) 368-51-45,darsenych@example.net
Данченко,Богодар,Павлович,Чоловік,1974-11-05,Доцент,селище Родинське,"набережна Листяний, буд. 23 кв. 563, Керч, 57129",+380 91 020 50 79,iustyna21@example.org
Вахній,Кирило,Сергійович,Чоловік,1940-11-22,Гицель,село Хмільник,"сквер Китобійна, буд. 836, Заставна, 41633",+380 80 468 47 17,xkorbut@example.org
Оробець,Климент,Сергійович,Чоловік,2005-04-18,Археолог,село Брянка,"шосе Аеродромний 1-й, буд. 563, Здолбунів, 51869",+380 11 741 07 63,havryshvira@example.com
Фаренюк,Антон,Сергійович,Чоловік,2006-12-27,Модель,село Буринь,"парк Софіївська, буд. 431, Гірник, 02242",+380 52 860-67-64,gchernenko@example.com
Комар,Данило,Петрович,Чоловік,1974-10-15,Медик,селище Тальне,"узвіз Максима Чайки, буд. 96, Сколе, 01958",+380 68 127-95-45,violettahavrysh@example.com
Тихий,Алевтин,Арсенійович,Чоловік,1941-01-08,Літературознавець,хутір Петрово-Красносілля,"узвіз 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 856, Збараж, 79146",+380 97 290-93-41,hannaiaremchuk@example.com
Вертипорох,Віталій,Олексійович,Чоловік,1961-04-22,Журналіст,селище Лиман,"набережна Абрикосовий, буд. 6, Деражня, 73364",+380 35 571-90-53,ihnat21@example.org
Скорик,Алевтин,Арсенійович,Чоловік,1975-08-04,Інженер,хутір Вишневе,"сквер Курортний, буд. 5, Біляївка, 50594",112 64 68,tetiana78@example.net
Колесниченко,Владислав,Дмитрович,Чоловік,1987-06-17,Сценарист,село Бунге,"вулиця Хлібна гавань, буд. 5, Новомиргород, 38115",+380 (02) 447-42-39,nataliia22@example.org
Павлик,Мирослав,Павлович,Чоловік,1983-01-18,Модель,селище Корсунь-Шевченківський,"набережна Балтський 8-й, буд. 797, Бунге, 58596",+380 89 364 64 74,jlytvynenko@example.net
Тягнибок,Августин,Павлович,Чоловік,1957-06-27,Драматург,село Мелітополь,"сквер Училищна, буд. 7 кв. 44, Христинівка, 84001",336-35-03,iaremenkoonysym@example.net
Пʼятаченко,Геннадій,Олександрович,Чоловік,1998-09-11,Кінорежисер,місто Помічна,"вулиця Проектний 5-й, буд. 969 кв. 4, Борзна, 04245",+380 65 656-09-91,garkhypenko@example.com
Романенко,Орест,Романович,Чоловік,1965-11-22,Мистецтвознавець,село Городенка,"парк Андрія Сови, буд. 0, Фастів, 10293",618-99-28,fbaida@example.net
Жадан,Леонтій,Олексійович,Чоловік,1941-05-24,Детектив,селище Світловодськ,"проспект Шахтинський, буд. 88, П'ятихатки, 11648",222 78 66,derhachodarka@example.org
Нестайко,Едуард,Арсенійович,Чоловік,1990-07-05,Ботанік,хутір Зугрес,"парк Валерія Самофалова, буд. 457 кв. 835, Сквира, 47213",+380 81 031-31-89,zdemianiuk@example.com
Авдєєнко,Климент,Петрович,Чоловік,2001-06-20,Дипломат,місто Копичинці,"проспект Кишинівська, буд. 726, Жовква, 03817",090 152-85-73,oleksagalagan@example.net
Яременко,Руслан,Васильович,Чоловік,1986-05-26,Науковець,село Зимогір'я,"парк Моторний 1-й, буд. 5, Кипуче, 49674",+380 95 875 79 40,tkachenkoborys@example.org
Жайворон,Богдан,Романович,Чоловік,2008-05-11,Геолог,селище Полонне,"набережна 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 1 кв. 0, Тараща, 90275",+380 93 101-12-20,babychzynovii@example.org
Аронець,Григорій,Андрійович,Чоловік,1968-10-20,Актор,хутір Рогатин,"узвіз Осипова, буд. 3, Середина-Буда, 17004",+380 (06) 127-02-30,petrobalaban@example.org
Ільченко,Пантелеймон,Олексійович,Чоловік,1992-09-10,Доцент,хутір Олександрівськ,"узвіз Овідіопольська дорога, буд. 234 кв. 314, Тернівка, 50358",043 982-64-61,nazar16@example.org
Захарченко,Дмитро,Арсенійович,Чоловік,1946-12-16,Кіноактор,хутір Шаргород,"провулок Дружний, буд. 4, Дунаївці, 16678",663-18-23,habrahamovska@example.net
Жарко,Аарон,Олексійович,Чоловік,1994-04-12,Астроном,хутір Лутугине,"площа 14-та ст. Великого Фонтану пляж, буд. 039, Здолбунів, 22356",+380 91 568-04-44,anzhelakhmara@example.com
Авдєєнко,Андрій,Володимирович,Чоловік,2001-10-24,Мовознавець,хутір Білопілля,"проспект 14-та ст. Великого Фонтану пляж, буд. 8, Горішні Плавні, 37555",043 478-77-13,geregaoleh@example.com
Шинкаренко,Устим,Олександрович,Чоловік,1988-06-27,Драматург,село Обухів,"площа Балтський 2-й, буд. 8 кв. 839, Угнів, 39022",114 78 62,jhuk@example.net
Якимчук,Леопольд,Юрійович,Чоловік,1954-01-08,Круп'є,хутір Косів,"площа Університетський, буд. 9, Хмільник, 96808",+380 48 315-11-94,wskopenko@example.org
Бабійчук,Юхим,Степанович,Чоловік,2000-11-03,Публіцист,місто Самбір,"шосе Деревообробна, буд. 22, Іллінці, 88372",902 86 96,roksolanavasylechko@example.com
Карась,Макар,Степанович,Чоловік,1972-02-01,Дипломат,селище Суми,"узвіз Дмитра Іванова, буд. 99, Борщів, 99530",+380 34 173-61-71,davydisaievych@example.org
Дерегус,Святослав,Олексійович,Чоловік,1957-09-05,Актор,місто Зимогір'я,"сквер 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 19, Новоазовськ, 72221",+380 62 414 11 14,bohuslava52@example.com
Євдокименко,Орест,Андрійович,Чоловік,1943-09-17,Музикант,місто Почаїв,"шосе Європейська, буд. 32 кв. 821, Дебальцеве, 29526",056 038 24 17,stetseduard@example.com
Єрмоленко,Стефан,Миколайович,Чоловік,1967-07-14,Реабілітолог,село Судак,"парк Хортицька, буд. 700 кв. 5, Алмазна, 52713",737-70-44,hlibaleksiuk@example.com
Луценко,Миколай,Степанович,Чоловік,1952-06-11,Соціолог,хутір Роздільна,"сквер Бригадна, буд. 61, Погребище, 69410",+380 (99) 397-79-73,avhustynzinchenko@example.org
